round,date,team_home,team_away,full_text
Round 17,30.11.2024,Widzew Lodz,Rakow,30.11.2024 | Widzew Lodz | Rakow | 2 | 3
Round 17,30.11.2024,GKS Katowice,Lechia Gdansk,30.11.2024 | GKS Katowice | Lechia Gdansk | 2 | 0
Round 17,30.11.2024,Slask Wroclaw,Puszcza,30.11.2024 | Slask Wroclaw | Puszcza | 0 | 1
Round 17,29.11.2024,Piast Gliwice,Lech Poznan,29.11.2024 | Piast Gliwice | Lech Poznan | 0 | 0
Round 17,29.11.2024,Cracovia,Zaglebie,29.11.2024 | Cracovia | Zaglebie | 1 | 1
Round 16,25.11.2024,Puszcza,Widzew Lodz,25.11.2024 | Puszcza | Widzew Lodz | 2 | 0
Round 16,24.11.2024,Gornik Zabrze,Piast Gliwice,24.11.2024 | Gornik Zabrze | Piast Gliwice | 1 | 0
Round 16,24.11.2024,Rakow,Korona Kielce,24.11.2024 | Rakow | Korona Kielce | 1 | 1
Round 16,24.11.2024,Radomiak Radom,Stal Mielec,24.11.2024 | Radomiak Radom | Stal Mielec | 1 | 2
Round 16,23.11.2024,Legia,Cracovia,23.11.2024 | Legia | Cracovia | 3 | 2
Round 16,23.11.2024,Lech Poznan,GKS Katowice,23.11.2024 | Lech Poznan | GKS Katowice | 2 | 0
Round 16,23.11.2024,Lechia Gdansk,Pogon Szczecin,23.11.2024 | Lechia Gdansk | Pogon Szczecin | 0 | 3
Round 16,22.11.2024,Jagiellonia,Slask Wroclaw,22.11.2024 | Jagiellonia | Slask Wroclaw | 2 | 2
Round 16,22.11.2024,Zaglebie,Motor Lublin,22.11.2024 | Zaglebie | Motor Lublin | 1 | 2
Round 15,10.11.2024,Lech Poznan,Legia,10.11.2024 | Lech Poznan | Legia | 5 | 2
Round 15,10.11.2024,Jagiellonia,Rakow,10.11.2024 | Jagiellonia | Rakow | 2 | 2
Round 15,10.11.2024,Stal Mielec,Puszcza,10.11.2024 | Stal Mielec | Puszcza | 2 | 0
Round 15,09.11.2024,Slask Wroclaw,Gornik Zabrze,09.11.2024 | Slask Wroclaw | Gornik Zabrze | 0 | 1
Round 15,09.11.2024,Widzew Lodz,Zaglebie,09.11.2024 | Widzew Lodz | Zaglebie | 2 | 0
Round 15,09.11.2024,Cracovia,GKS Katowice,09.11.2024 | Cracovia | GKS Katowice | 3 | 4
Round 15,09.11.2024,Korona Kielce,Lechia Gdansk,09.11.2024 | Korona Kielce | Lechia Gdansk | 0 | 0
Round 15,08.11.2024,Pogon Szczecin,Radomiak Radom,08.11.2024 | Pogon Szczecin | Radomiak Radom | 0 | 1
Round 15,08.11.2024,Piast Gliwice,Motor Lublin,08.11.2024 | Piast Gliwice | Motor Lublin | 2 | 3
Round 14,04.11.2024,Zaglebie,Slask Wroclaw,04.11.2024 | Zaglebie | Slask Wroclaw | 3 | 0
Round 14,04.11.2024,GKS Katowice,Korona Kielce,04.11.2024 | GKS Katowice | Korona Kielce | 1 | 2
Round 14,03.11.2024,Legia,Widzew Lodz,03.11.2024 | Legia | Widzew Lodz | 2 | 1
Round 14,03.11.2024,Lechia Gdansk,Cracovia,03.11.2024 | Lechia Gdansk | Cracovia | 1 | 2
Round 14,03.11.2024,Gornik Zabrze,Jagiellonia,03.11.2024 | Gornik Zabrze | Jagiellonia | 0 | 2
Round 14,03.11.2024,Radomiak Radom,Piast Gliwice,03.11.2024 | Radomiak Radom | Piast Gliwice | 1 | 1
