round,date,team_home,team_away,full_text
Round 8,16.01.2025,Zamalek,Haras El Hodood,16.01.2025 | Zamalek | Haras El Hodood | 3 | 2
Round 8,15.01.2025,Al Ahly,El Gouna,15.01.2025 | Al Ahly | El Gouna | 2 | 0
Round 8,15.01.2025,Pyramids,Ghazl El Mahallah,15.01.2025 | Pyramids | Ghazl El Mahallah | 3 | 0
Round 8,12.01.2025,Smouha,Modern Sport,12.01.2025 | Smouha | Modern Sport | 1 | 0
Round 8,11.01.2025,Al Ittihad,ZED,11.01.2025 | Al Ittihad | ZED | 0 | 1
Round 8,11.01.2025,National Bank Egypt,El Ismaily,11.01.2025 | National Bank Egypt | El Ismaily | 1 | 0
Round 8,10.01.2025,El Gaish,Ceramica Cleopatra,10.01.2025 | El Gaish | Ceramica Cleopatra | 0 | 1
Round 8,10.01.2025,Petrojet,Enppi,10.01.2025 | Petrojet | Enppi | 0 | 0
Round 5,07.01.2025,Al Ahly,Smouha,07.01.2025 | Al Ahly | Smouha | 2 | 0
Round 7,01.01.2025,Ghazl El Mahallah,National Bank Egypt,01.01.2025 | Ghazl El Mahallah | National Bank Egypt | 0 | 1
Round 7,01.01.2025,Awrd,Modern Sport,01.01.2025 | Awrd | Modern Sport | El Ismaily | 0 | 3
Round 7,31.12.2024,Ceramica Cleopatra,Al Masry,31.12.2024 | Ceramica Cleopatra | Al Masry | 1 | 1
Round 7,30.12.2024,Pharco,Smouha,30.12.2024 | Pharco | Smouha | 2 | 1
Round 7,30.12.2024,ZED,Petrojet,30.12.2024 | ZED | Petrojet | 1 | 1
Round 7,30.12.2024,El Gouna,Pyramids,30.12.2024 | El Gouna | Pyramids | 0 | 1
Round 7,30.12.2024,Enppi,Al Ahly,30.12.2024 | Enppi | Al Ahly | 0 | 0
Round 7,29.12.2024,Zamalek,Al Ittihad,29.12.2024 | Zamalek | Al Ittihad | 2 | 0
Round 7,29.12.2024,Haras El Hodood,El Gaish,29.12.2024 | Haras El Hodood | El Gaish | 3 | 0
Round 6,26.12.2024,Al Masry,Al Ahly,26.12.2024 | Al Masry | Al Ahly | 0 | 2
Round 6,26.12.2024,Petrojet,El Gouna,26.12.2024 | Petrojet | El Gouna | 1 | 0
Round 6,26.12.2024,National Bank Egypt,Ceramica Cleopatra,26.12.2024 | National Bank Egypt | Ceramica Cleopatra | 1 | 2
Round 6,26.12.2024,Smouha,Ghazl El Mahallah,26.12.2024 | Smouha | Ghazl El Mahallah | 2 | 4
Round 6,25.12.2024,Pyramids,Pharco,25.12.2024 | Pyramids | Pharco | 3 | 0
Round 6,25.12.2024,Al Ittihad,Modern Sport,25.12.2024 | Al Ittihad | Modern Sport | 0 | 0
Round 6,25.12.2024,El Ismaily,Haras El Hodood,25.12.2024 | El Ismaily | Haras El Hodood | 2 | 2
Round 6,24.12.2024,El Gaish,Zamalek,24.12.2024 | El Gaish | Zamalek | 2 | 2
Round 6,24.12.2024,ZED,Enppi,24.12.2024 | ZED | Enppi | 0 | 0
Round 5,21.12.2024,El Ismaily,Pyramids,21.12.2024 | El Ismaily | Pyramids | 1 | 1
Round 5,21.12.2024,Ghazl El Mahallah,Al Ittihad,21.12.2024 | Ghazl El Mahallah | Al Ittihad | 0 | 0
Round 5,20.12.2024,Pharco,ZED,20.12.2024 | Pharco | ZED | 1 | 2
Round 5,20.12.2024,El Gouna,Enppi,20.12.2024 | El Gouna | Enppi | 1 | 0
Round 5,20.12.2024,Modern Sport,National Bank Egypt,20.12.2024 | Modern Sport | National Bank Egypt | 0 | 1
Round 5,19.12.2024,Zamalek,Ceramica Cleopatra,19.12.2024 | Zamalek | Ceramica Cleopatra | 1 | 1
Round 5,19.12.2024,El Gaish,Petrojet,19.12.2024 | El Gaish | Petrojet | 0 | 1
Round 5,19.12.2024,Haras El Hodood,Al Masry,19.12.2024 | Haras El Hodood | Al Masry | 0 | 0
