round,date,team_home,team_away,full_text
Round 23,08.02.2025,Shooting,Bendel,08.02.2025 | Shooting | Bendel | 1 | 0
Round 23,08.02.2025,Remo Stars,Kano Pillars,08.02.2025 | Remo Stars | Kano Pillars | 2 | 1
Round 23,08.02.2025,El Kanemi,Nasarawa,08.02.2025 | El Kanemi | Nasarawa | 1 | 0
Round 23,07.02.2025,Katsina Utd,Heartland,07.02.2025 | Katsina Utd | Heartland | 1 | 0
Round 22,03.02.2025,Kwara,El Kanemi,03.02.2025 | Kwara | El Kanemi | 2 | 0
Round 22,03.02.2025,Bendel,Katsina Utd,03.02.2025 | Bendel | Katsina Utd | 1 | 0
Round 22,03.02.2025,Rangers Int'l,Ikorodu City,03.02.2025 | Rangers Int'l | Ikorodu City | 2 | 0
Round 22,03.02.2025,Lobi Stars,Enyimba,03.02.2025 | Lobi Stars | Enyimba | 0 | 1
Round 22,02.02.2025,Abia Warriors,Akwa United,02.02.2025 | Abia Warriors | Akwa United | 2 | 0
Round 22,02.02.2025,Heartland,Rivers United,02.02.2025 | Heartland | Rivers United | 2 | 0
Round 22,02.02.2025,Nasarawa,Niger Tornadoes,02.02.2025 | Nasarawa | Niger Tornadoes | 2 | 0
Round 22,02.02.2025,Kano Pillars,Bayelsa United,02.02.2025 | Kano Pillars | Bayelsa United | 0 | 0
Round 22,02.02.2025,Plateau United,Shooting,02.02.2025 | Plateau United | Shooting | 1 | 1
Round 22,01.02.2025,Sunshine Stars,Remo Stars,01.02.2025 | Sunshine Stars | Remo Stars | 1 | 2
Round 21,30.01.2025,Katsina Utd,Plateau United,30.01.2025 | Katsina Utd | Plateau United | 1 | 0
Round 21,30.01.2025,Niger Tornadoes,Kwara,30.01.2025 | Niger Tornadoes | Kwara | 2 | 1
Round 21,30.01.2025,Rivers United,Bendel,30.01.2025 | Rivers United | Bendel | 2 | 2
Round 21,30.01.2025,Enyimba,Heartland,30.01.2025 | Enyimba | Heartland | 1 | 1
Round 21,29.01.2025,Shooting,Nasarawa,29.01.2025 | Shooting | Nasarawa | 2 | 0
Round 21,29.01.2025,Akwa United,Lobi Stars,29.01.2025 | Akwa United | Lobi Stars | 1 | 1
Round 21,29.01.2025,Ikorodu City,Kano Pillars,29.01.2025 | Ikorodu City | Kano Pillars | 4 | 1
Round 21,29.01.2025,Remo Stars,Abia Warriors,29.01.2025 | Remo Stars | Abia Warriors | 3 | 2
Round 21,29.01.2025,Bayelsa United,Sunshine Stars,29.01.2025 | Bayelsa United | Sunshine Stars | 4 | 1
Round 21,29.01.2025,El Kanemi,Rangers Int'l,29.01.2025 | El Kanemi | Rangers Int'l | 2 | 1
Round 16,27.01.2025,Kwara,Enyimba,27.01.2025 | Kwara | Enyimba | 2 | 0
Round 20,26.01.2025,Plateau United,Rivers United,26.01.2025 | Plateau United | Rivers United | 2 | 1
Round 20,26.01.2025,Akwa United,Remo Stars,26.01.2025 | Akwa United | Remo Stars | 1 | 2
Round 20,26.01.2025,Heartland,Lobi Stars,26.01.2025 | Heartland | Lobi Stars | 1 | 0
Round 20,25.01.2025,Abia Warriors,Bayelsa United,25.01.2025 | Abia Warriors | Bayelsa United | 1 | 0
Round 20,25.01.2025,Sunshine Stars,Ikorodu City,25.01.2025 | Sunshine Stars | Ikorodu City | 4 | 3
Round 20,25.01.2025,Rangers Int'l,Niger Tornadoes,25.01.2025 | Rangers Int'l | Niger Tornadoes | 1 | 2
Round 20,25.01.2025,Nasarawa,Katsina Utd,25.01.2025 | Nasarawa | Katsina Utd | 1 | 0
Round 14,23.01.2025,Kano Pillars,Enyimba,23.01.2025 | Kano Pillars | Enyimba | 2 | 0
Round 17,08.01.2025,Enyimba,Nasarawa,08.01.2025 | Enyimba | Nasarawa | 2 | 1
Round 19,31.12.2024,Enyimba,Bendel,31.12.2024 | Enyimba | Bendel | 0 | 0
Round 19,30.12.2024,Rivers United,Plateau United,30.12.2024 | Rivers United | Plateau United | 1 | 1
Round 19,29.12.2024,Remo Stars,Akwa United,29.12.2024 | Remo Stars | Akwa United | 2 | 1
Round 19,29.12.2024,Shooting,Kwara,29.12.2024 | Shooting | Kwara | 1 | 0
Round 19,29.12.2024,Ikorodu City,Sunshine Stars,29.12.2024 | Ikorodu City | Sunshine Stars | 2 | 1
Round 19,29.12.2024,Katsina Utd,Nasarawa,29.12.2024 | Katsina Utd | Nasarawa | 1 | 0
Round 19,29.12.2024,Lobi Stars,Heartland,29.12.2024 | Lobi Stars | Heartland | 0 | 0
Round 19,29.12.2024,El Kanemi,Kano Pillars,29.12.2024 | El Kanemi | Kano Pillars | 1 | 0
Round 19,29.12.2024,Niger Tornadoes,Rangers Int'l,29.12.2024 | Niger Tornadoes | Rangers Int'l | 0 | 1
Round 19,28.12.2024,Bayelsa United,Abia Warriors,28.12.2024 | Bayelsa United | Abia Warriors | 0 | 1
Round 18,26.12.2024,Plateau United,Enyimba,26.12.2024 | Plateau United | Enyimba | 0 | 0
Round 18,23.12.2024,Akwa United,Heartland,23.12.2024 | Akwa United | Heartland | 2 | 0
Round 18,22.12.2024,Kwara,Katsina Utd,22.12.2024 | Kwara | Katsina Utd | 1 | 0
Round 18,22.12.2024,Abia Warriors,Ikorodu City,22.12.2024 | Abia Warriors | Ikorodu City | 2 | 0
Round 18,22.12.2024,Nasarawa,Rivers United,22.12.2024 | Nasarawa | Rivers United | 1 | 1
Round 18,22.12.2024,Rangers Int'l,Shooting,22.12.2024 | Rangers Int'l | Shooting | 0 | 1
Round 18,22.12.2024,Remo Stars,Bayelsa United,22.12.2024 | Remo Stars | Bayelsa United | 2 | 0
Round 18,21.12.2024,Bendel,Lobi Stars,21.12.2024 | Bendel | Lobi Stars | 1 | 0
Round 18,21.12.2024,Sunshine Stars,El Kanemi,21.12.2024 | Sunshine Stars | El Kanemi | 1 | 0
Round 18,21.12.2024,Kano Pillars,Niger Tornadoes,21.12.2024 | Kano Pillars | Niger Tornadoes | 2 | 1
Round 17,15.12.2024,Ikorodu City,Remo Stars,15.12.2024 | Ikorodu City | Remo Stars | 1 | 1
Round 17,15.12.2024,Bayelsa United,Akwa United,15.12.2024 | Bayelsa United | Akwa United | 2 | 1
Round 17,15.12.2024,Heartland,Bendel,15.12.2024 | Heartland | Bendel | 1 | 1
Round 17,15.12.2024,Rivers United,Kwara,15.12.2024 | Rivers United | Kwara | 2 | 1
Round 17,15.12.2024,El Kanemi,Abia Warriors,15.12.2024 | El Kanemi | Abia Warriors | 3 | 0
Round 17,15.12.2024,Katsina Utd,Rangers Int'l,15.12.2024 | Katsina Utd | Rangers Int'l | 0 | 0
Round 17,15.12.2024,Niger Tornadoes,Sunshine Stars,15.12.2024 | Niger Tornadoes | Sunshine Stars | 4 | 1
Round 17,14.12.2024,Shooting,Kano Pillars,14.12.2024 | Shooting | Kano Pillars | 2 | 0
Round 17,14.12.2024,Lobi Stars,Plateau United,14.12.2024 | Lobi Stars | Plateau United | 1 | 0
Round 13,11.12.2024,Enyimba,Sunshine Stars,11.12.2024 | Enyimba | Sunshine Stars | 0 | 0
Round 16,09.12.2024,Akwa United,Bendel,09.12.2024 | Akwa United | Bendel | 1 | 1
Round 16,08.12.2024,Remo Stars,El Kanemi,08.12.2024 | Remo Stars | El Kanemi | 2 | 0
Round 16,08.12.2024,Abia Warriors,Niger Tornadoes,08.12.2024 | Abia Warriors | Niger Tornadoes | 2 | 1
Round 16,08.12.2024,Bayelsa United,Ikorodu City,08.12.2024 | Bayelsa United | Ikorodu City | 1 | 0
Round 16,08.12.2024,Rangers Int'l,Rivers United,08.12.2024 | Rangers Int'l | Rivers United | 1 | 0
Round 16,08.12.2024,Kano Pillars,Katsina Utd,08.12.2024 | Kano Pillars | Katsina Utd | 1 | 0
Round 16,08.12.2024,Plateau United,Heartland,08.12.2024 | Plateau United | Heartland | 3 | 2
Round 16,07.12.2024,Sunshine Stars,Shooting,07.12.2024 | Sunshine Stars | Shooting | 0 | 1
Round 16,07.12.2024,Nasarawa,Lobi Stars,07.12.2024 | Nasarawa | Lobi Stars | 1 | 0
Round 15,03.12.2024,Enyimba,Rangers Int'l,03.12.2024 | Enyimba | Rangers Int'l | 0 | 0
Round 15,01.12.2024,Shooting,Abia Warriors,01.12.2024 | Shooting | Abia Warriors | 2 | 0
Round 15,01.12.2024,Heartland,Nasarawa,01.12.2024 | Heartland | Nasarawa | 3 | 2
Round 15,01.12.2024,Ikorodu City,Akwa United,01.12.2024 | Ikorodu City | Akwa United | 4 | 1
Round 15,01.12.2024,Katsina Utd,Sunshine Stars,01.12.2024 | Katsina Utd | Sunshine Stars | 1 | 0
Round 15,01.12.2024,Niger Tornadoes,Remo Stars,01.12.2024 | Niger Tornadoes | Remo Stars | 2 | 1
Round 15,01.12.2024,Rivers United,Kano Pillars,01.12.2024 | Rivers United | Kano Pillars | 1 | 0
Round 15,01.12.2024,El Kanemi,Bayelsa United,01.12.2024 | El Kanemi | Bayelsa United | 0 | 0
Round 15,30.11.2024,Bendel,Plateau United,30.11.2024 | Bendel | Plateau United | 2 | 1
