round,date,team_home,team_away,full_text
Round 7,07.12.2024,US Goree,Pikine,07.12.2024 | US Goree | Pikine | 1 | 0
Round 7,07.12.2024,Guediawaye,AJEL,07.12.2024 | Guediawaye | AJEL | 2 | 1
Round 7,07.12.2024,Oslo Football Academy,Casa,07.12.2024 | Oslo Football Academy | Casa | 0 | 1
Round 7,07.12.2024,Ouakam,Linguere,07.12.2024 | Ouakam | Linguere | 0 | 0
Round 6,02.12.2024,Jaraaf,Wally Daan,02.12.2024 | Jaraaf | Wally Daan | 1 | 1
Round 6,01.12.2024,ASC HLM,US Goree,01.12.2024 | ASC HLM | US Goree | 1 | 2
Round 6,01.12.2024,Generation F.,Sonacos,01.12.2024 | Generation F. | Sonacos | 1 | 2
Round 6,01.12.2024,Linguere,Guediawaye,01.12.2024 | Linguere | Guediawaye | 2 | 2
Round 6,01.12.2024,Pikine,Jamono Fatick,01.12.2024 | Pikine | Jamono Fatick | 0 | 0
Round 6,01.12.2024,Casa,AJEL,01.12.2024 | Casa | AJEL | 0 | 0
Round 6,30.11.2024,Teungueth,Oslo Football Academy,30.11.2024 | Teungueth | Oslo Football Academy | 1 | 2
Round 6,30.11.2024,Dakar SC,Ouakam,30.11.2024 | Dakar SC | Ouakam | 2 | 0
Round 5,24.11.2024,Casa,Linguere,24.11.2024 | Casa | Linguere | 0 | 0
Round 5,24.11.2024,Ouakam,Generation F.,24.11.2024 | Ouakam | Generation F. | 2 | 1
Round 5,23.11.2024,Wally Daan,Pikine,23.11.2024 | Wally Daan | Pikine | 1 | 1
Round 5,23.11.2024,Sonacos,ASC HLM,23.11.2024 | Sonacos | ASC HLM | 2 | 0
Round 5,23.11.2024,US Goree,Jamono Fatick,23.11.2024 | US Goree | Jamono Fatick | 2 | 0
Round 5,23.11.2024,AJEL,Teungueth,23.11.2024 | AJEL | Teungueth | 1 | 1
Round 5,23.11.2024,Guediawaye,Dakar SC,23.11.2024 | Guediawaye | 2 | Dakar SC | 0 | 2
Round 5,21.11.2024,Oslo Football Academy,Jaraaf,21.11.2024 | Oslo Football Academy | Jaraaf | 1 | 4
Round 4,10.11.2024,Generation F.,Guediawaye,10.11.2024 | Generation F. | Guediawaye | 1 | 1
Round 4,10.11.2024,ASC HLM,Ouakam,10.11.2024 | ASC HLM | Ouakam | 1 | 1
Round 4,10.11.2024,Jaraaf,AJEL,10.11.2024 | Jaraaf | AJEL | 1 | 1
Round 4,10.11.2024,Pikine,Oslo Football Academy,10.11.2024 | Pikine | Oslo Football Academy | 1 | 0
Round 4,10.11.2024,Sonacos,US Goree,10.11.2024 | Sonacos | US Goree | 0 | 1
Round 4,09.11.2024,Teungueth,Linguere,09.11.2024 | Teungueth | Linguere | 2 | 1
Round 4,09.11.2024,Dakar SC,Casa,09.11.2024 | Dakar SC | Casa | 0 | 0
Round 4,09.11.2024,Jamono Fatick,Wally Daan,09.11.2024 | Jamono Fatick | Wally Daan | 0 | 1
Round 3,03.11.2024,AJEL,Pikine,03.11.2024 | AJEL | Pikine | 0 | 0
Round 3,03.11.2024,Casa,Generation F.,03.11.2024 | Casa | Generation F. | 1 | 2
Round 3,03.11.2024,Guediawaye,ASC HLM,03.11.2024 | Guediawaye | ASC HLM | 0 | 1
Round 3,03.11.2024,Linguere,Jaraaf,03.11.2024 | Linguere | Jaraaf | 1 | 3
Round 3,03.11.2024,Ouakam,Sonacos,03.11.2024 | Ouakam | Sonacos | 0 | 0
Round 3,02.11.2024,Oslo Football Academy,Jamono Fatick,02.11.2024 | Oslo Football Academy | Jamono Fatick | 1 | 0
Round 3,02.11.2024,Teungueth,Dakar SC,02.11.2024 | Teungueth | Dakar SC | 3 | 0
Round 3,02.11.2024,US Goree,Wally Daan,02.11.2024 | US Goree | Wally Daan | 2 | 3
Round 2,27.10.2024,ASC HLM,Casa,27.10.2024 | ASC HLM | Casa | 2 | 1
Round 2,27.10.2024,Generation F.,Teungueth,27.10.2024 | Generation F. | Teungueth | 0 | 0
Round 2,27.10.2024,Jaraaf,Dakar SC,27.10.2024 | Jaraaf | Dakar SC | 1 | 1
Round 2,27.10.2024,Pikine,Linguere,27.10.2024 | Pikine | Linguere | 0 | 0
Round 2,27.10.2024,Sonacos,Guediawaye,27.10.2024 | Sonacos | Guediawaye | 0 | 1
Round 2,26.10.2024,Jamono Fatick,AJEL,26.10.2024 | Jamono Fatick | AJEL | 0 | 0
