round,date,team_home,team_away,full_text
10,22.06.2025,KFUM Oslo,Stromsgodset,22.06.2025 | KFUM Oslo | Stromsgodset | 5 | 0
10,22.06.2025,Kristiansund,Rosenborg,22.06.2025 | Kristiansund | Rosenborg | 4 | 1
10,22.06.2025,Sandefjord,Haugesund,22.06.2025 | Sandefjord | Haugesund | 4 | 0
10,22.06.2025,Sarpsborg 08,Bryne,22.06.2025 | Sarpsborg 08 | Bryne | 1 | 1
10,22.06.2025,Valerenga,Molde,22.06.2025 | Valerenga | Molde | 2 | 3
10,21.06.2025,Bodo/Glimt,Brann,21.06.2025 | Bodo/Glimt | Brann | 3 | 0
9,01.06.2025,Molde,Viking,01.06.2025 | Molde | Viking | 0 | 1
9,01.06.2025,Brann,Kristiansund,01.06.2025 | Brann | Kristiansund | 4 | 2
9,01.06.2025,Bryne,Sandefjord,01.06.2025 | Bryne | Sandefjord | 3 | 2
9,01.06.2025,Haugesund,Bodo/Glimt,01.06.2025 | Haugesund | Bodo/Glimt | 0 | 4
9,01.06.2025,Rosenborg,KFUM Oslo,01.06.2025 | Rosenborg | KFUM Oslo | 1 | 1
9,01.06.2025,Fredrikstad,Sarpsborg 08,01.06.2025 | Fredrikstad | Sarpsborg 08 | 1 | 1
9,31.05.2025,Tromso,Valerenga,31.05.2025 | Tromso | Valerenga | 2 | 1
9,31.05.2025,Stromsgodset,HamKam,31.05.2025 | Stromsgodset | HamKam | 0 | 3
15,29.05.2025,Brann,Molde,29.05.2025 | Brann | Molde | 2 | 0 | 3
19,28.05.2025,Bodo/Glimt,Viking,28.05.2025 | Bodo/Glimt | Viking | 2 | 4
18,28.05.2025,Fredrikstad,Rosenborg,28.05.2025 | Fredrikstad | Rosenborg | 0 | 2
8,26.05.2025,KFUM Oslo,Valerenga,26.05.2025 | KFUM Oslo | Valerenga | 0 | 1
8,25.05.2025,Haugesund,Brann,25.05.2025 | Haugesund | Brann | 0 | 2
8,25.05.2025,Kristiansund,Viking,25.05.2025 | Kristiansund | Viking | 0 | 1
8,25.05.2025,Sandefjord,Stromsgodset,25.05.2025 | Sandefjord | Stromsgodset | 3 | 2
8,25.05.2025,Sarpsborg 08,Tromso,25.05.2025 | Sarpsborg 08 | Tromso | 0 | 1
8,25.05.2025,HamKam,Molde,25.05.2025 | HamKam | Molde | 2 | 1
8,24.05.2025,Bodo/Glimt,Rosenborg,24.05.2025 | Bodo/Glimt | Rosenborg | 4 | 0
8,24.05.2025,Bryne,Fredrikstad,24.05.2025 | Bryne | Fredrikstad | 4 | 3
7,16.05.2025,Valerenga,HamKam,16.05.2025 | Valerenga | HamKam | 1 | 1
7,16.05.2025,Brann,Sarpsborg 08,16.05.2025 | Brann | Sarpsborg 08 | 2 | 2
7,16.05.2025,Fredrikstad,KFUM Oslo,16.05.2025 | Fredrikstad | KFUM Oslo | 1 | 0
7,16.05.2025,Molde,Kristiansund,16.05.2025 | Molde | Kristiansund | 0 | 1
7,16.05.2025,Rosenborg,Haugesund,16.05.2025 | Rosenborg | Haugesund | 1 | 0
