round,date,team_home,team_away,full_text
8,08.11.2024,SO Armee,Academie de FAD,08.11.2024 | SO Armee | Academie de FAD | 0 | 2
8,08.11.2024,AS Denguele,SOL,08.11.2024 | AS Denguele | SOL | 1 | 1
8,08.11.2024,Bouake,Racing d'Abidjan,08.11.2024 | Bouake | Racing d'Abidjan | 0 | 0
8,08.11.2024,Mouna,Olympique Sport,08.11.2024 | Mouna | Olympique Sport | 2 | 0
8,08.11.2024,Zoman,San Pedro,08.11.2024 | Zoman | San Pedro | 4 | 1
2,06.11.2024,Stade d'Abidjan,ISCA,06.11.2024 | Stade d'Abidjan | ISCA | 2 | 1
7,03.11.2024,SOL,Korhogo,03.11.2024 | SOL | Korhogo | 0 | 1
7,03.11.2024,Zoman,ASEC Mimosas,03.11.2024 | Zoman | ASEC Mimosas | 1 | 0
7,02.11.2024,Olympique Sport,Stella Adjame,02.11.2024 | Olympique Sport | Stella Adjame | 0 | 1
7,02.11.2024,San Pedro,ISCA,02.11.2024 | San Pedro | ISCA | 0 | 0
7,02.11.2024,Bouake,Academie de FAD,02.11.2024 | Bouake | Academie de FAD | 0 | 0
7,02.11.2024,Lys Sassandra,Mouna,02.11.2024 | Lys Sassandra | Mouna | 1 | 1
7,02.11.2024,Racing d'Abidjan,SO Armee,02.11.2024 | Racing d'Abidjan | SO Armee | 0 | 0
7,01.11.2024,Stade d'Abidjan,AS Denguele,01.11.2024 | Stade d'Abidjan | AS Denguele | 1 | 0
1,29.10.2024,ISCA,Olympique Sport,29.10.2024 | ISCA | Olympique Sport | 0 | 1
6,27.10.2024,Stade d'Abidjan,SOL,27.10.2024 | Stade d'Abidjan | SOL | 1 | 0
6,27.10.2024,ASEC Mimosas,Mouna,27.10.2024 | ASEC Mimosas | Mouna | 1 | 1
6,27.10.2024,Korhogo,Bouake,27.10.2024 | Korhogo | Bouake | 0 | 0
6,26.10.2024,AS Denguele,Racing d'Abidjan,26.10.2024 | AS Denguele | Racing d'Abidjan | 4 | 1
6,26.10.2024,SO Armee,Zoman,26.10.2024 | SO Armee | Zoman | 1 | 1
6,26.10.2024,Stella Adjame,San Pedro,26.10.2024 | Stella Adjame | San Pedro | 1 | 0
6,25.10.2024,Academie de FAD,Olympique Sport,25.10.2024 | Academie de FAD | Olympique Sport | 0 | 0
6,25.10.2024,ISCA,Lys Sassandra,25.10.2024 | ISCA | Lys Sassandra | 2 | 0
5,20.10.2024,SOL,San Pedro,20.10.2024 | SOL | San Pedro | 0 | 1
5,20.10.2024,Bouake,ISCA,20.10.2024 | Bouake | ISCA | 1 | 1
5,20.10.2024,Korhogo,SO Armee,20.10.2024 | Korhogo | SO Armee | 0 | 2
5,20.10.2024,Zoman,Academie de FAD,20.10.2024 | Zoman | Academie de FAD | 0 | 2
5,19.10.2024,Lys Sassandra,Stella Adjame,19.10.2024 | Lys Sassandra | Stella Adjame | 1 | 1
5,19.10.2024,Mouna,AS Denguele,19.10.2024 | Mouna | AS Denguele | 1 | 1
5,18.10.2024,Racing d'Abidjan,ASEC Mimosas,18.10.2024 | Racing d'Abidjan | ASEC Mimosas | 1 | 2
5,18.10.2024,Olympique Sport,Stade d'Abidjan,18.10.2024 | Olympique Sport | Stade d'Abidjan | 2 | 3
