round,date,team_home,team_away,full_text
12,10.11.2024,AZ Alkmaar,Willem II,10.11.2024 | AZ Alkmaar | Willem II | 1 | 2
12,10.11.2024,Heerenveen,G.A. Eagles,10.11.2024 | Heerenveen | G.A. Eagles | 1 | 0
12,10.11.2024,Twente,Ajax,10.11.2024 | Twente | Ajax | 2 | 2
12,10.11.2024,Almere City,Feyenoord,10.11.2024 | Almere City | Feyenoord | 1 | 4
12,09.11.2024,Waalwijk,Nijmegen,09.11.2024 | Waalwijk | Nijmegen | 0 | 3
12,09.11.2024,NAC Breda,PSV,09.11.2024 | NAC Breda | PSV | 0 | 3
12,09.11.2024,Zwolle,Sittard,09.11.2024 | Zwolle | Sittard | 3 | 1
12,09.11.2024,Groningen,Sparta Rotterdam,09.11.2024 | Groningen | Sparta Rotterdam | 1 | 0
12,08.11.2024,Utrecht,Heracles,08.11.2024 | Utrecht | Heracles | 1 | 0
11,03.11.2024,Waalwijk,Almere City,03.11.2024 | Waalwijk | Almere City | 2 | 0
11,03.11.2024,Nijmegen,Groningen,03.11.2024 | Nijmegen | Groningen | 6 | 0
11,03.11.2024,Sparta Rotterdam,Utrecht,03.11.2024 | Sparta Rotterdam | Utrecht | 1 | 4
11,03.11.2024,G.A. Eagles,Zwolle,03.11.2024 | G.A. Eagles | Zwolle | 2 | 2
11,02.11.2024,Feyenoord,AZ Alkmaar,02.11.2024 | Feyenoord | AZ Alkmaar | 3 | 2
11,02.11.2024,Sittard,Heerenveen,02.11.2024 | Sittard | Heerenveen | 3 | 0
11,02.11.2024,Ajax,PSV,02.11.2024 | Ajax | PSV | 3 | 2
11,02.11.2024,Heracles,NAC Breda,02.11.2024 | Heracles | NAC Breda | 2 | 0
11,02.11.2024,Willem II,Twente,02.11.2024 | Willem II | Twente | 0 | 1
4,30.10.2024,Feyenoord,Ajax,30.10.2024 | Feyenoord | Ajax | 0 | 2
10,27.10.2024,AZ Alkmaar,G.A. Eagles,27.10.2024 | AZ Alkmaar | G.A. Eagles | 2 | 2
10,27.10.2024,Ajax,Willem II,27.10.2024 | Ajax | Willem II | 1 | 0
10,27.10.2024,Twente,Heracles,27.10.2024 | Twente | Heracles | 5 | 0
10,27.10.2024,Utrecht,Feyenoord,27.10.2024 | Utrecht | Feyenoord | 0 | 2
10,26.10.2024,Heerenveen,Sparta Rotterdam,26.10.2024 | Heerenveen | Sparta Rotterdam | 2 | 0
10,26.10.2024,NAC Breda,Waalwijk,26.10.2024 | NAC Breda | Waalwijk | 4 | 1
10,26.10.2024,PSV,Zwolle,26.10.2024 | PSV | Zwolle | 6 | 0
10,26.10.2024,Sittard,Groningen,26.10.2024 | Sittard | Groningen | 1 | 0
10,25.10.2024,Almere City,Nijmegen,25.10.2024 | Almere City | Nijmegen | 1 | 0
9,20.10.2024,Zwolle,NAC Breda,20.10.2024 | Zwolle | NAC Breda | 1 | 2
9,20.10.2024,Groningen,Utrecht,20.10.2024 | Groningen | Utrecht | 0 | 1
9,20.10.2024,Heracles,Ajax,20.10.2024 | Heracles | Ajax | 3 | 4
9,20.10.2024,Willem II,Sittard,20.10.2024 | Willem II | Sittard | 0 | 0
9,19.10.2024,G.A. Eagles,Feyenoord,19.10.2024 | G.A. Eagles | Feyenoord | 1 | 5
9,19.10.2024,Nijmegen,Heerenveen,19.10.2024 | Nijmegen | Heerenveen | 3 | 0
9,19.10.2024,Waalwijk,Twente,19.10.2024 | Waalwijk | Twente | 2 | 2
9,19.10.2024,AZ Alkmaar,PSV,19.10.2024 | AZ Alkmaar | PSV | 1 | 2
9,19.10.2024,Sparta Rotterdam,Almere City,19.10.2024 | Sparta Rotterdam | Almere City | 2 | 2
8,06.10.2024,Sittard,AZ Alkmaar,06.10.2024 | Sittard | AZ Alkmaar | 1 | 0
8,06.10.2024,Ajax,Groningen,06.10.2024 | Ajax | Groningen | 3 | 1
8,06.10.2024,Feyenoord,Twente,06.10.2024 | Feyenoord | Twente | 2 | 1
8,06.10.2024,Heerenveen,Zwolle,06.10.2024 | Heerenveen | Zwolle | 1 | 1
8,06.10.2024,G.A. Eagles,Heracles,06.10.2024 | G.A. Eagles | Heracles | 4 | 1
8,05.10.2024,Utrecht,Waalwijk,05.10.2024 | Utrecht | Waalwijk | 3 | 2
8,05.10.2024,PSV,Sparta Rotterdam,05.10.2024 | PSV | Sparta Rotterdam | 2 | 1
8,05.10.2024,NAC Breda,Nijmegen,05.10.2024 | NAC Breda | Nijmegen | 1 | 0
8,04.10.2024,Almere City,Willem II,04.10.2024 | Almere City | Willem II | 0 | 1
7,29.09.2024,AZ Alkmaar,Utrecht,29.09.2024 | AZ Alkmaar | Utrecht | 1 | 2
7,29.09.2024,Waalwijk,Ajax,29.09.2024 | Waalwijk | Ajax | 0 | 2
7,29.09.2024,Groningen,G.A. Eagles,29.09.2024 | Groningen | G.A. Eagles | 0 | 1
7,29.09.2024,Twente,NAC Breda,29.09.2024 | Twente | NAC Breda | 1 | 0
7,29.09.2024,Zwolle,Almere City,29.09.2024 | Zwolle | Almere City | 1 | 0
7,28.09.2024,Sparta Rotterdam,Sittard,28.09.2024 | Sparta Rotterdam | Sittard | 1 | 1
7,28.09.2024,Nijmegen,Feyenoord,28.09.2024 | Nijmegen | Feyenoord | 1 | 1
7,28.09.2024,Willem II,PSV,28.09.2024 | Willem II | PSV | 0 | 2
7,27.09.2024,Heracles,Heerenveen,27.09.2024 | Heracles | Heerenveen | 2 | 1
6,22.09.2024,Sittard,PSV,22.09.2024 | Sittard | PSV | 1 | 3
6,22.09.2024,Almere City,Twente,22.09.2024 | Almere City | Twente | 0 | 5
6,22.09.2024,Feyenoord,NAC Breda,22.09.2024 | Feyenoord | NAC Breda | 2 | 0
6,22.09.2024,Heerenveen,Groningen,22.09.2024 | Heerenveen | Groningen | 2 | 2 | 1
6,21.09.2024,Nijmegen,Heracles,21.09.2024 | Nijmegen | Heracles | 1 | 2
6,21.09.2024,G.A. Eagles,Ajax,21.09.2024 | G.A. Eagles | Ajax | 1 | 1
6,21.09.2024,Waalwijk,Sparta Rotterdam,21.09.2024 | Waalwijk | Sparta Rotterdam | 1 | 2
6,21.09.2024,Utrecht,Willem II,21.09.2024 | Utrecht | Willem II | 3 | 2
6,20.09.2024,Zwolle,AZ Alkmaar,20.09.2024 | Zwolle | AZ Alkmaar | 1 | 2
3,18.09.2024,Ajax,Sittard,18.09.2024 | Ajax | Sittard | 5 | 0
3,17.09.2024,Twente,Heerenveen,17.09.2024 | Twente | Heerenveen | 2 | 0
5,15.09.2024,Heracles,Almere City,15.09.2024 | Heracles | Almere City | 0 | 0
5,15.09.2024,Willem II,Waalwijk,15.09.2024 | Willem II | Waalwijk | 3 | 0
5,15.09.2024,Sparta Rotterdam,G.A. Eagles,15.09.2024 | Sparta Rotterdam | G.A. Eagles | 1 | 2
5,14.09.2024,AZ Alkmaar,Heerenveen,14.09.2024 | AZ Alkmaar | Heerenveen | 9 | 1
5,14.09.2024,NAC Breda,Sittard,14.09.2024 | NAC Breda | Sittard | 1 | 0
5,14.09.2024,Groningen,Feyenoord,14.09.2024 | Groningen | Feyenoord | 2 | 2
5,14.09.2024,PSV,Nijmegen,14.09.2024 | PSV | Nijmegen | 2 | 0
5,14.09.2024,Twente,Zwolle,14.09.2024 | Twente | Zwolle | 1 | 1
4,01.09.2024,PSV,G.A. Eagles,01.09.2024 | PSV | G.A. Eagles | 3 | 0
4,01.09.2024,Zwolle,Heracles,01.09.2024 | Zwolle | Heracles | 3 | 0
4,01.09.2024,Utrecht,Twente,01.09.2024 | Utrecht | Twente | 2 | 1
4,31.08.2024,Willem II,Sparta Rotterdam,31.08.2024 | Willem II | Sparta Rotterdam | 1 | 2
4,31.08.2024,Heerenveen,NAC Breda,31.08.2024 | Heerenveen | NAC Breda | 4 | 0
4,31.08.2024,Sittard,Nijmegen,31.08.2024 | Sittard | Nijmegen | 0 | 3
4,31.08.2024,Almere City,Groningen,31.08.2024 | Almere City | Groningen | 1 | 1
